end,mid,lambda,cdfMid,cdfEnd,pdfStart,pdfEnd
13,9,9.350209975,0.541368707,0.907123682,8.69472E-05,0.058297887
14,9,9.51627696,0.519710892,0.939323832,7.36433E-05,0.042195302
15,9,9.607116751,0.507942382,0.963597379,6.72484E-05,0.028188932
16,9,9.647580399,0.502721364,0.979829122,6.45816E-05,0.017385372
17,9,9.662420136,0.500810103,0.98954816,6.36303E-05,0.009978295
18,9,9.667052268,0.500213911,0.994879658,6.33363E-05,0.005377801
19,9,9.668320106,0.500050763,0.997612371,6.3256E-05,0.002739534
20,9,9.668630059,0.50001088,0.998936295,6.32364E-05,0.001324773
21,9,9.668698306,0.500002098,0.999546193,6.32321E-05,0.000609989
22,9,9.668712019,0.500000334,0.999814271,6.32312E-05,0.000268086
23,9,9.66871453,0.500000011,0.999926969,6.32311E-05,0.000112698
24,9,9.668714951,0.499999957,0.999972371,6.32311E-05,4.5402E-05
25,9,9.668715017,0.499999948,0.99998993,6.32311E-05,1.75592E-05
26,9,9.668715026,0.499999947,0.99999646,6.32311E-05,6.52979E-06
27,9,9.668715027,0.499999947,0.999998798,6.32311E-05,2.33832E-06
28,9,9.668715027,0.499999947,0.999999605,6.32311E-05,8.07449E-07
29,9,9.668715027,0.499999947,0.999999875,6.32311E-05,2.69207E-07
30,9,9.668715027,0.499999947,0.999999961,6.32311E-05,8.67627E-08
14,10,10.2923655,0.546513188,0.900422571,3.38908E-05,0.058195166
15,10,10.47696944,0.523586371,0.932668302,2.8178E-05,0.043345651
16,10,10.5848777,0.510269083,0.957900824,2.52957E-05,0.030019257
17,10,10.63722565,0.503836351,0.975597948,2.40055E-05,0.019289697
18,10,10.65831677,0.501250195,0.986755142,2.35045E-05,0.011566609
19,10,10.66556297,0.50036245,0.993196444,2.33348E-05,0.006525325
20,10,10.66774805,0.50009483,0.996668646,2.32839E-05,0.003486473
21,10,10.66833799,0.500022584,0.998438687,2.32702E-05,0.001772099
22,10,10.66848224,0.500004919,0.999297897,2.32668E-05,0.000859466
23,10,10.66851441,0.500000979,0.999696545,2.32661E-05,0.000398675
24,10,10.66852098,0.500000174,0.999873763,2.32659E-05,0.000177221
25,10,10.66852222,0.500000023,0.999949391,2.32659E-05,7.56277E-05
26,10,10.66852243,0.499999996,0.999980423,2.32659E-05,3.10321E-05
27,10,10.66852247,0.499999992,0.999992685,2.32659E-05,1.22617E-05
28,10,10.66852247,0.499999991,0.999997357,2.32659E-05,4.67195E-06
29,10,10.66852247,0.499999991,0.999999075,2.32659E-05,1.71872E-06
30,10,10.66852247,0.499999991,0.999999687,2.32659E-05,6.11206E-07
16,11,11.43547802,0.52742636,0.926487629,1.08053E-05,0.044165645
17,11,11.55978446,0.512748947,0.952391034,9.54222E-06,0.031530176
18,11,11.62458131,0.505131866,0.971304121,8.94352E-06,0.020987428
19,11,11.65291015,0.501809887,0.983777612,8.69372E-06,0.013072672
